"file_name","caption_predicted"
"002ho18_.wav","A machine is running and a dog is whining."
"00lxphyq.wav","People are talking in the background while a machine is running in the background."
"005d_q4o.wav","Several people talking in the background with clanking in the foreground."
"00xjom5h.wav","Someone playing a video game with a stringed instrument."
"0064l0wn.wav","Rain is pouring down while thunder rumbles in the background."
"0106ej2t.wav","A truck is beeping and a person is talking in the background."
"00jbxv4k.wav","Animals are making noises while birds are chirping in the background."
"015t5izr.wav","A person burps several times, then burps several more times, then burps several more times, then burps four more times, then burps four more times, then burps four more times, then burps four more times,"
"015tu2cn.wav","A man is speaking with a humming sound in the background."
"01r10j2a.wav","A crowd of people are talking while a machine is running in the background."
"01ay4ee5.wav","A man is speaking and a crowd of people are talking."
"01tzk4su.wav","People are talking in the background as someone is walking up the stairs."
"01kz3p5r.wav","People are talking in the background while a machine is running in the background."
"02n7aazo.wav","People are talking in the background as dishes clatter in the foreground."
"01o6uec9.wav","Someone is writing with a pencil while people are talking in the background."
"02p1j1o8.wav","Rain is pouring down and thunder is cracking in the distance."
"02yxe_qk.wav","Waves crash against the shore as birds chirp in the background."
"04136a64.wav","A metal pot is being scraped clean with water."
"03amxux6.wav","People are talking in the background as dishes and utensils are clanging."
"043e0xi5.wav","Several people talking in the background and a vehicle horn honking in the distance."
"03p7n4_f.wav","People are talking in the background as they walk up the stairs."
"04g1cuwu.wav","People are talking in the background as dishes clatter in the foreground."
"03uxd3x3.wav","A group of people are talking in the background."
"04wkxbo9.wav","The wind is blowing and leaves are rustling in the background."
"04x4n9nu.wav","An airplane is flying in the air at a steady pace."
"05frt6xv.wav","Cars are passing by on a nearby road."
"04xd3s1p.wav","A clock ticking with a steady beat of ticking."
"05ii52qo.wav","A door creaks as it is opened and closed, and then a door creaks as it is opened and closed again."
"04xvjgpb.wav","People are talking in the background as someone is brushing their teeth."
"05rvb_17.wav","People are talking in the background as dishes clatter in the foreground."
"05dghchu.wav","Crickets chirp in the background as a waterfall rushes by."
"05xuxmge.wav","A group of people are talking in a noisy environment."
"05yjpfr4.wav","Birds are chirping in the background while a person is chopping wood."
"06re2u34.wav","People are talking in the background as dishes and utensils are clanging."
"064mzgmz.wav","People are talking in the background as dishes clatter in the foreground."
"06zrw6hs.wav","A metal object is repeatedly tapped on another metal object."
"06i2nbs_.wav","A saw is cutting through a piece of wood."
"07025xu_.wav","A bell is being rung over and over again."
"06oobo0q.wav","People are talking in the background as dishes and utensils are clanging."
"071g17te.wav","People are talking in the background as silverware clangs against plates."
"077flz4v.wav","People are talking in the background while a machine is running in the background."
"07r0_wn4.wav","A door is being opened and closed repeatedly."
"078yftvl.wav","People are talking in the background as a machine is turned on and then turned off."
"07r9g4aa.wav","People are talking in the background as dishes clatter in the foreground."
"079rik0o.wav","People are talking in the background as someone walks up the stairs."
"07roonr7.wav","A bell is being rung as a truck passes by."
"07d7h81z.wav","A person jingles their keys in their pocket."
"088kvyu2.wav","A train is coming down the tracks while it is raining."
"08ea8sp3.wav","A person is flipping through the pages of a book."
"090h2vof.wav","A person is walking through the snow with boots on."
"08j6z3fj.wav","Several people talking in the background with clanking in the foreground."
"09598j4q.wav","Rain is falling heavily on a metal roof."
"08n59vdm.wav","Birds chirp in the background as food sizzles in a pan."
"0970yis9.wav","Someone is opening a bottle cap and then turning it off."
"08nvzv9l.wav","Water is flowing down a gutter and into a drain."
"0990eb1k.wav","A train passes by while a siren blares in the background."
"09a8x7i0.wav","Several cars and trucks driving by on a highway."
"0_2vi4sm.wav","A chain saw is being used to cut wood."
"09edrzco.wav","People are talking in the background as cars pass by."
"0_2zolzr.wav","People are talking in the background as dishes clatter in the foreground."
"09jv__l1.wav","A motor is running and water is dripping in the background."
"0_3rm_75.wav","People are talking in the background as dishes clatter in the foreground."
"0_1kwjio.wav","Birds are chirping and tweeting in the background."
"0_6815rb.wav","People are talking in the background while a machine is running in the background."
"0_8dbsub.wav","Birds chirp in the trees while a siren blares in the background."
"0_y43sg2.wav","Children are playing on a playground next to a street."
"0_a47w7s.wav","People are talking in the background as dishes clatter in the foreground."
"0a3i3p4b.wav","A person is walking up the stairs and dragging their feet."
"0_dyuslu.wav","People are talking in the background as dishes clatter in the foreground."
"0a5x3km8.wav","Water is running and people are talking in the background."
"0_lmfluu.wav","Rain is pouring down on a roof and the rain is hitting the ground."
"0aeto9y_.wav","An airplane is flying in the sky at a steady pace."
