"file_name","caption_predicted"
"01 A pug struggles to breathe 1_14_2008.wav","A dog whimpers and then starts to whine."
"02-Bakken_Rollercoaster.wav","Several people are talking next to a busy street."
"01 barreau bunker original.wav","A metal object is striking another metal object in a rhythmic fashion."
"0208 Fountain_Parque_del_Peru.wav","Rain coming down on the side of a highway."
"01 hospital elevator with computer voice.wav","The alarm goes off three times and then the alarm goes off four times."
"0211_170236 walk downstairs.wav","Someone is walking down a long flight of stairs."
"01862 heavy machine working.wav","A large truck revs its engine as it drives by."
"02668 stripwood noises.wav","Metal objects are being moved around and banged together."
"043015 Splashing water in bathtub.wav","Water is being splashed around in a tub."
"07 storm - orage.wav","Rain is falling on a tin roof and thunder is rumbling in the background."
"05769 carpenter&#39;s workshop ambience.wav","Someone is cutting wood with a saw in the background."
"070821_flsp_bog01.wav","Insects buzz as birds chirp in the background."
"06 - 333 con tren hotel saliendo de la estacion de Zamora hacia Galicia.wav","A train is chugging along the tracks of the railroad train."
"08-Garage Opening-consolidated.wav","A machine is running and metal objects are being moved around."
"07 ambient bell.wav","Birds chirp in the background as a church bell rings."
"080809_05_FontanaKoblerov.wav","It is raining and the rain is hitting the ground hard."
"080902_05_cicada_night_road.wav","Crickets chirp in the background as a car drives by."
"110422_village_dusk.wav","A dog is barking while birds are chirping and people are talking in the background."
"09-07-13_1900_Bells of Torre dos Clerigos (short).wav","People are talking while church bells are ringing."
"1122thrum.wav","A thunderstorm is rumbling in the distance."
"09-07-14_2338_Foz, fisherman next to the river.wav","A car is driving down the road with the window open."
"130915 - Exterior-Hard Rain - Door - Thunder - Metal Lawn Furniture.wav","Rain is falling and thunder is rumbling in the background."
"105bpm.wav","Someone is playing a stringed instrument with a tambourine."
"13gotasb.wav","Someone is washing dishes in a sink with a tank of water."
"14.12.2011.001.wav","A train approaches and then passes by."
"17-Year Cicada Mating Call.wav","A siren is going off in the distance."
"15_Rain_Ocean_HeavierLighter_44_16.wav","Rain falling on a roof and then falling on the ground."
"1990 repetition brass-band 01.wav","A brass band is playing trombone, trumpet, trumpet, trumpet, trumpet, trumpet, trumpet, trumpet, music genre, classical music"
"160717 HSN fishing boat passing by.wav","Ocean waves crash against the shore as the wind howls."
"2 08 Br Lib 2 amb kids.wav","People are talking to each other in a large room."
"161006_0075 creaking floor -nr.wav","Someone is rocking back and forth in a creaky rocking chair."
"20 bottles nt 2_10.wav","A person picks up a silverware and talks."
"20060426.marsh.crikets.day.stereo.02.wav","Crickets are chirping and thunder is rumbling in the distance."
"20070128.turbine.wav","A machine is running at a constant speed."
"20061121.pine.forest.wav","Birds are chirping and singing in the background."
"20070224.siren.wav","A police car with the siren on is coming to a stop."
"20061205.washing.machine.wash.wav","A train is chugging down the tracks and eventually stops."
"20070318.forest.00.wav","Birds are chirping and a hard object is striking another hard object in the background."
"20061215.early.morning.wav","Birds are chirping and a dog is barking in the background."
"20070325.windy.forest.stereo.02.wav","Birds chirp in the background as the wind blows."
"20070402.crowd.wav","People are talking and a bird is chirping."
"20070918.galloping.horse.wav","A horse is galloping, a cow moos, and a horse neighs."
"20070720.rbd.chicharras.02.wav","A machine is running at a constant speed and volume."
"20080226.serins.rbd.02.wav","Birds chirp in the background while a goat bleats."
"20070819.fjord.beach.00.wav","Waves crash against the shore as the wind blows."
"20080320.farm.ambiance.2.wav","A variety of birds are chirping and singing."
"20070824.supper.wav","Dishes are clanged together and a liquid is poured."
"20080416.buzz.stereo.wav","A bee is buzzing and birds are chirping in the background."
"20080504.horse.drawn.00.wav","Someone is walking on a hard surface while birds are chirping in the background."
"20090407.cricket.real.close.wav","A machine is running at a very high speed."
"20080505_1309unlock_doors.wav","Birds chirp in the background as a door is opened and closed."
"20090412.bell.strikes.12.wav","A bell is ringing while people are talking and walking."
"20081102kijjaz-MediumRecordCracklesSynthesis-01.wav","A radio tuner being moved through static and different radio stations."
"20090712.engine.00.wav","A chainsaw is being used to cut through an object."
"20090105.slicing.wav","A hard object striking another hard object in a rhythmic way."
"20090712.engine.01.wav","A race car engine revs and tires squeal as the car speeds away."
"20090827.pony.wav","A person is eating crunchy chips out of a bag."
