"file_name","caption_predicted"
"01 A pug struggles to breathe 1_14_2008.wav","A dog grunts and growls while a woman laughs in the background."
"02-Bakken_Rollercoaster.wav","A train is passing by and people are talking in the background."
"01 barreau bunker original.wav","A person taps a bell on a bell tolls."
"0208 Fountain_Parque_del_Peru.wav","Rain is pouring down and a car is driving by."
"01 hospital elevator with computer voice.wav","A woman talks, then a door opens and closes."
"0211_170236 walk downstairs.wav","Someone is walking on a hardwood floor while people are talking in the background."
"01862 heavy machine working.wav","Cars are passing by on the road as the wind blows."
"02668 stripwood noises.wav","Someone is opening and closing a creaky door."
"043015 Splashing water in bathtub.wav","Water is being splashed in and out of the bathtub."
"07 storm - orage.wav","A thunderstorm is rolling in the distance."
"05769 carpenter&#39;s workshop ambience.wav","Someone is hammering a piece of wood with a saw."
"070821_flsp_bog01.wav","Birds are chirping and insects are buzzing in the background."
"06 - 333 con tren hotel saliendo de la estacion de Zamora hacia Galicia.wav","A train is travelling down the tracks on the tracks."
"08-Garage Opening-consolidated.wav","A door creaks as it opens and closes."
"07 ambient bell.wav","A bell tolls as traffic goes by in the distance."
"080809_05_FontanaKoblerov.wav","It is raining and the rain is falling on the ground."
"080902_05_cicada_night_road.wav","Crickets chirp in the background as a car drives by."
"110422_village_dusk.wav","Birds are chirping and a dog is barking and people are talking in the background."
"09-07-13_1900_Bells of Torre dos Clerigos (short).wav","A bell rings while people talk in the background."
"1122thrum.wav","A machine is running at a steady pace."
"09-07-14_2338_Foz, fisherman next to the river.wav","Traffic is passing by in the distance and a person is walking in the distance."
"130915 - Exterior-Hard Rain - Door - Thunder - Metal Lawn Furniture.wav","A man grunts as rain falls in the background."
"105bpm.wav","Someone is playing music with music in the background."
"13gotasb.wav","Water is dripping from a faucet into a sink."
"14.12.2011.001.wav","A train approaches and passes by on the tracks."
"17-Year Cicada Mating Call.wav","Someone is playing a tune with a high pitch."
"15_Rain_Ocean_HeavierLighter_44_16.wav","It is raining and the rain is hitting the ground."
"1990 repetition brass-band 01.wav","Several instruments are being played on a violin."
"160717 HSN fishing boat passing by.wav","Water splashes and gurgles as the wind blows."
"2 08 Br Lib 2 amb kids.wav","People are talking in the background as the wind blows."
"161006_0075 creaking floor -nr.wav","A wooden door creaks as it is opened and closed."
"20 bottles nt 2_10.wav","A person turns on the tap and then turns on the tap."
"20060426.marsh.crikets.day.stereo.02.wav","Crickets are chirping and a bird is chirping in the background."
"20070128.turbine.wav","A machine is running at a constant rate."
"20061121.pine.forest.wav","Birds are chirping and traffic is audible in the background."
"20070224.siren.wav","A police car siren is blaring in the distance."
"20061205.washing.machine.wash.wav","A train is travelling down the tracks."
"20070318.forest.00.wav","Birds are chirping and people are talking in the background."
"20061215.early.morning.wav","Birds are chirping and dogs are barking in the background."
"20070325.windy.forest.stereo.02.wav","Birds chirp in the background as the wind blows."
"20070402.crowd.wav","A large group of people are talking to each other."
"20070918.galloping.horse.wav","A person is walking on top of their feet while a sheep bleats in the background."
"20070720.rbd.chicharras.02.wav","Rain is pouring down on the roof of a house."
"20080226.serins.rbd.02.wav","Birds are chirping and the wind is blowing."
"20070819.fjord.beach.00.wav","Waves crash against the shore as the waves crash against the shore."
"20080320.farm.ambiance.2.wav","A variety of birds are chirping and singing in the background."
"20070824.supper.wav","Water is dripping in the background while a woman is talking in the foreground."
"20080416.buzz.stereo.wav","Bees are buzzing around and birds are chirping in the background."
"20080504.horse.drawn.00.wav","Birds chirp in the background as a person walks on a hard surface."
"20090407.cricket.real.close.wav","pitches   pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches  pitches pitches  pitches  pitches  pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches pitches"
"20080505_1309unlock_doors.wav","Birds chirp in the background as a person walks across a hard surface."
"20090412.bell.strikes.12.wav","People are talking to each other while bells are ringing in the background."
"20081102kijjaz-MediumRecordCracklesSynthesis-01.wav","Rain is pouring down on a tin roof."
"20090712.engine.00.wav","A chainsaw is being used to cut a piece of wood."
"20090105.slicing.wav","A hard object is being dragged across a hard surface."
"20090712.engine.01.wav","A chainsaw is being used to cut a piece of wood."
"20090827.pony.wav","A person is walking through the snow and their feet."
"20091225.rain.01.wav","It is raining and the rain is falling on the ground."
"20091212.motorcycle.wav","A plane is flying overhead and birds are chirping in the background."
"20100320.fountain.wav","Water is being poured into a container of water."
"20091217.17.fountain.wav","Water is flowing down a gutter and down a drain."
"20100410.almunecar.surf.wav","It is raining and the wind is blowing."
"20091217.18.chains.wav","Birds chirp in the background as the wind blows."
"20100422.castril.playground.wav","Several children are talking and playing with each other."
"20100422.waterfall.birds.wav","Birds are chirping and traffic is audible in the background."
"20101205.02.night.dog.n.car.wav","A dog is barking and a car is driving past."
"20100801.wharf.silence.night.wav","Water is flowing and a dog is barking in the background."
"20110121_stream.MS.wav","Water is running down a drain as time goes on."
"20100804.idling.van.wav","An engine is idling in the background while people are talking in the background."
"20110206_bright.winter.morning.wav","Birds are chirping and traffic is audible in the background."
"20101026Cows.wav","Sheep bleat while a cow moos in the background."
"20110423_heavy.rain.wav","Water is dripping from the faucet into the sink."
"201106092013VauxsSwiftsSteigerwaldLakeNWR.wav","Birds are chirping and traffic is in the background."
"20130327_valparaiso.traffic.02.wav","A train is passing by on the tracks while people are talking in the background."
"20110804_river.distant.19.wav","A steady stream of water is flowing over rocks."
"20130406_tourists.06.wav","A group of people are talking to each other."
"20121014_boat_tour_01.wav","People are talking to each other while the wind is blowing."
"2013622thunder.wav","Birds are chirping in the background while thunder roars in the distance."
"2013-03-28 rain in the rainforest.wav","Rain is pouring down on a roof and down on the ground."
"20140223 - Bangkok city sounds.wav","People are talking to each other while traffic is passing by in the background."
"20140809_cruzul.river.wav","Heavy rain is falling down on the roof."
"20160820_saluzzo.arcade.04.wav","A large group of people are talking to each other."
"20150330_02.soft.wind.day.MS.wav","It is raining and the wind is blowing."
"27 hn_birdspecking.wav","Rain is pouring down on the ground while a man coughs in the background."
"20160124_Pencil-on-Paper.wav","Someone is using a tool to write on a chalkboard."
"451__mikejedw__bong2_variant#2.wav","A metal object is being hit with a metal tool."
"20160506_sharpening.02.wav","A hard object is being dragged across a hard surface."
"A Growing Thunderstorm.wav","It is raining and the wind is blowing."
"A creek in a forest.wav","Water is flowing and birds are chirping in the background."
"Acid_lake-Dallol.wav","Heavy rain is falling on the roof of a house."
"AMBIENCE- night time crickets insects wild sound (SFX).wav","Birds are chirping and traffic is passing by in the distance."
"Afternoon Suburb Calm.wav","Birds chirp in the background as the wind blows."
"AMB_earlymorning_palmovka.wav","A train passes by on the tracks as it passes by."
"Ahr river.wav","Water is running from a faucet into a sink."
"AbdnC_KingStPelican_120225.wav","A busy street with traffic is followed by a loud screech."
"Air raid siren_rising.wav","A musical instrument is being played in the foreground."
"AlleyWater.wav","Water is flowing in the background while a train passes by."
"Ambience Urban park fountain early evening.wav","A woman is speaking while water is running in the background."
"Ambiance, Carnival.wav","A group of people are talking to each other."
"Ambience birds.wav","Birds are chirping in the background while a flock of birds chirp in the background."
"Ambience - Generator.wav","A machine is running at a constant rate."
"Ambience in Sugadh (ESI institute) in Gujrat.wav","Someone is hitting a metal object with their hand."
"Ambience - St Kilda Beach - waves lapping rocks, people nearby, seagulls.wav","Water drips from a faucet while birds chirp in the background."
"AmbientAtmosphere.wav","People are talking to each other while cars are passing by in the background."
"Ambulance Siren.wav","A siren wails and traffic passes in the distance."
"Armoury Site.wav","Cars are passing by on the road as the wind blows."
"Appartment_Ambient_AC_TV_Fans.wav","The wind is blowing and people are talking in the background."
"Atlantic Ocean Waves.wav","Waves crash against the shore as the wind blows."
"April_2004_garden_birds01.wav","Birds are tweeting, chirping and traffic is in the background."
"Atmo Busbahnhof (besser).wav","A train is travelling down the tracks while a siren is blaring in the background."
"Arch Leaf.wav","Someone is flipping through the pages of a book."
"Atmo Wartehalle2.wav","People are talking to each other while someone is clapping."
"Atmosphere on road in London.wav","Cars are driving by on a busy highway."
"Backhoe.wav","A machine is running at a constant speed."
"Avion.wav","Cars are driving by on a busy highway."
"Backyard Birds-001.wav","Birds are chirping and traffic is audible in the background."
"BR Standard Class 4 2-6-4T Steam Engine Departing - Irwell Vale Halt ~SE1 XY stereo pair.wav","A train is passing by on the tracks."
"Backyard nature.wav","Birds are chirping and traffic is in the background."
"BUS RIDE R.wav","A siren is blaring while people are talking in the background."
"Baking dish picked up put down.wav","A metal object is being dragged across a hard surface."
"Balloon Game at Arlington Heights Carnival.wav","People are talking to each other while a ball is being bounced on the ground."
"Basic_Battle.wav","A person is playing a flute in a high pitched way."
"BangingOilTank.wav","Someone is hitting a metal object and then the object is hit again."
"Bath 01.wav","Water is running from a faucet into a sink."
"Bangkok City Distant.wav","A large amount of people are talking in the background."
"BathFill.wav","Water is running from a faucet into a sink."
"Barn_Door_Wind_001.wav","A person is walking on a hard surface and then they walk away."
"Bathtub_with_Foam.wav","A toilet is flushed and water is running."
"Bear Last Audio.wav","A person is struggling to towards the end."
"Birds of Klein Profijt.wav","Birds are chirping and traffic is in the background."
"Bees Collingwood.wav","A swarm of bees buzz and buzz while a bee buzzes in the background."
"Birds-sleeves-amb.wav","Birds chirp in the distance as a person walks in the distance."
"Binding my thesis.wav","A machine is operating while people are talking in the background."
"Birds_and_Water_Filling_Rain_Barrel.wav","Water is flowing down to the ground and the birds are chirping in the background."
"BirdCallBackyard2016Long.wav","Birds chirp in the distance while a bird whistles in the foreground."
"BlackCappedChickadee.wav","Crickets chirp in the background while a bird chirps in the foreground."
"Blackbird 252.wav","A variety of birds are chirping and tweeting."
"Blind Man Whistling.wav","A person is whistling and people are talking in the background."
"Blackbird tweet with waterfall background.wav","Birds chirp in the background as the wind blows."
"Blowing on Microphone.wav","A person is breathing heavily while breathing in the background."
"Blade Big.wav","A person tries to open a bottle."
"Bobcat moving pallets etc Part 2 080320.wav","A machine is running in the background while a machine hums in the foreground."
"Blade sharpening.wav","A knife is being sharpened on a sharp knife."
"Boiling a cup of water.wav","A machine is running and then a vehicle is turned off."
"BottleDrinking02.wav","Metal objects are being tossed and rubbed against each other."
