"file_name","caption_predicted"
"01 A pug struggles to breathe 1_14_2008.wav","A dog whimpers and then starts to growl."
"043015 Splashing water in bathtub.wav","Water is being splashed around in a tub."
"01862 heavy machine working.wav","A lawnmower is being used to cut the grass."
"07 ambient bell.wav","A church bell rings while birds chirp in the background."
"02-Bakken_Rollercoaster.wav","Several people are talking next to a busy street."
"080809_05_FontanaKoblerov.wav","A heavy downpour of rain is hitting the ground."
"02668 stripwood noises.wav","A door is being opened and closed repeatedly."
"15_Rain_Ocean_HeavierLighter_44_16.wav","A fire crackles and pops as it burns."
"17-Year Cicada Mating Call.wav","Several different types of sirens are going off."
"20070918.galloping.horse.wav","A horse is galloping, a cow moos, and a horse neighs."
"20061121.pine.forest.wav","Birds are chirping and singing in the background."
"20080320.farm.ambiance.2.wav","Many different kinds of birds are chirping and tweeting."
"20070402.crowd.wav","People are talking while birds are chirping in the background."
"20080416.buzz.stereo.wav","A bee is buzzing and birds are chirping in the background."
"20070720.rbd.chicharras.02.wav","A machine is running at a constant speed."
"20080504.horse.drawn.00.wav","Someone is walking on a hard surface while birds are chirping in the background."
"20080505_1309unlock_doors.wav","Birds chirp in the background as a door is opened and closed."
"20091217.17.fountain.wav","Water is flowing down a gutter and down a drain."
"20090105.slicing.wav","A hard object is being dragged across a hard surface."
"20091217.18.chains.wav","Metal is clinking against metal as cars drive by in the background."
"20090407.cricket.real.close.wav","A television is trying to tune into a station."
"20100320.fountain.wav","Water is flowing from a faucet into a tub."
"20090712.engine.01.wav","Motorcycles are racing on a race track."
"20100422.waterfall.birds.wav","Several different kinds of birds are chirping."
"20100801.wharf.silence.night.wav","A dog is barking while people are talking in the background."
"20160506_sharpening.02.wav","A knife is being sharpened on a sharpener."
"20121014_boat_tour_01.wav","A plane flies overhead as people talk to each other."
"20160820_saluzzo.arcade.04.wav","A crowd of people are talking in close proximity to each other."
"20140223 - Bangkok city sounds.wav","A group of people are talking to each other."
"27 hn_birdspecking.wav","A person is walking in the rain while a dog barks in the background."
"20140809_cruzul.river.wav","Water is flowing over rocks in a creek."
"451__mikejedw__bong2_variant#2.wav","Metal objects clang together over and over again."
"AMB_earlymorning_palmovka.wav","A train approaches and then passes by."
"Appartment_Ambient_AC_TV_Fans.wav","A machine is running at a constant speed."
"Ahr river.wav","Water is running from a faucet into a tub."
"April_2004_garden_birds01.wav","Birds are chirping and traffic is passing in the distance."
"Air raid siren_rising.wav","Buzzing of an insect with birds chirping in the background."
"Armoury Site.wav","A motorcycle passes by and then another motorcycle passes by."
"Ambience - St Kilda Beach - waves lapping rocks, people nearby, seagulls.wav","Birds are chirping and people are talking in the background."
"Atmo Wartehalle2.wav","A crowd of people are talking in a large room."
"Backhoe.wav","A machine is running at a constant speed."
"Bathtub_with_Foam.wav","A person flushes a toilet and the water drains."
"Backyard nature.wav","Birds are chirping while cars drive by in the background."
"Bear Last Audio.wav","A dog growls and barks, then growls and barks again."
"Balloon Game at Arlington Heights Carnival.wav","A group of people are talking to each other."
"Bees Collingwood.wav","Bees are buzzing and birds are chirping in the background."
"BathFill.wav","Water is flowing down a gutter and down a drain."
"BlackCappedChickadee.wav","Birds chirp back and forth to each other."
"Blackbird 252.wav","Several different types of birds are chirping."
"Broom_Bear_Street_Sweeper_Roadwork.wav","Steam is hissing out of a train as it travels down the tracks."
"Blowing on Microphone.wav","A person is snoring loudly in the distance."
"Brushing teeth.wav","Someone is using a toothbrush to brush their teeth."
"Boiling a cup of water.wav","A machine is running and then turns off."
"Brushing_Teeth_Bathroom_Fx.wav","Someone is using a toothbrush to brush their teeth."
"BottleDrinking02.wav","A person rinses their teeth and then rinses their mouth."
"Bubbles water.wav","Bubbles float up to the surface of the water."
"Busy Coffee Shop Counter Field Recording.wav","A man is speaking while people are talking in the background."
"Car Driving.wav","Cars are passing by on the freeway in the distance."
"C Minor Chords Musical Soundscape.wav","Someone is playing a stringed instrument that gets louder as time goes on."
"Car vs. Freight Train.wav","A train is passing by on the tracks."
"Calm down-town morning 02 150722_0706.wav","Birds are chirping in the background while a person coughs."
"CarEntireInternal01.wav","A machine is running at a constant speed."
"Canada Geese Squawk on a Pond with a Fountain.wav","Birds are chirping and geese are honking in the background."
"Car_Suspension_Creak.wav","A door creaks as it is opened and closed."
"Cars crossing in Rain.wav","Several cars and trucks driving by on a highway."
"Cityscape Compounded 01.wav","A heavy rain coming down outside with thunder in the background."
"Cash Machine, Indoors, Full Transaction.wav","A vending machine is beeping and then the vending machine starts."
"ClinkingGlass.wav","A metal object is being struck against another metal object."
"Chopping Celery.wav","A person is chopping vegetables on a cutting board."
"Collingwood bees, bumble bees.wav","Birds chirp in the background while an insect buzzes loudly."
"Chopping pieces of mushrooms vigorously.wav","A person is chopping vegetables on a cutting board."
"Cooking rice.wav","The wind is blowing at a fast pace."
"Cracking and frying egg.wav","Water is running from a faucet into a sink."
"DH14_CrowTram2b.wav","Birds are squawking and people are talking in the background."
"Crickets in the night.wav","Crickets are chirping and people are talking in the background."
"DIDGERIDOO 05.wav","Electronic music is playing while a dog is barking in the background."
"Crowd Atmos.wav","A group of kids are playing on a playground."
"Deshaciendo y alisando la bola de papel de aluminio.wav","A plastic bag is being crumpled up."
"Cruiseship - outside, night.wav","A machine is running at a constant speed."
"Deutz-Tractor-Engine-1972.wav","A lawnmower is being used to cut grass."
"Diesel Truck Idling Front.wav","A machine is running at a constant speed."
