"file_name","caption_predicted"
"01 A pug struggles to breathe 1_14_2008.wav","A dog is chewing on something and snoring."
"02-Bakken_Rollercoaster.wav","People are talking while cars are driving by."
"01 barreau bunker original.wav","A metal object is being tapped on another metal object several times."
"0208 Fountain_Parque_del_Peru.wav","Rain is pouring down and a train horn blares in the distance."
"01 hospital elevator with computer voice.wav","A machine beeps multiple times, followed by a woman speaking."
"0211_170236 walk downstairs.wav","A person is walking on a wooden floor."
"01862 heavy machine working.wav","An airplane is flying in the sky and getting ready to take off."
"02668 stripwood noises.wav","A door is being opened and closed repeatedly."
"043015 Splashing water in bathtub.wav","A person is splashing the water around in a bathtub."
"07 storm - orage.wav","Rain is pouring down while thunder is cracking in the background."
"05769 carpenter&#39;s workshop ambience.wav","A saw is being used to cut wood."
"070821_flsp_bog01.wav","Birds chirp in the background while a train horn blares in the distance."
"06 - 333 con tren hotel saliendo de la estacion de Zamora hacia Galicia.wav","A train is passing by on the tracks."
"08-Garage Opening-consolidated.wav","A washing machine is being used to do laundry."
"07 ambient bell.wav","A bell is ringing while birds are chirping in the background."
"080809_05_FontanaKoblerov.wav","Heavy rain is falling and hitting the ground."
"080902_05_cicada_night_road.wav","Birds are chirping while cars are passing by in the background."
"110422_village_dusk.wav","A dog is barking while birds are chirping in the background."
"09-07-13_1900_Bells of Torre dos Clerigos (short).wav","A bell is ringing and people are talking in the background."
"1122thrum.wav","A car is driving down the road with the windows open."
"09-07-14_2338_Foz, fisherman next to the river.wav","The wind is blowing and cars are passing by."
"130915 - Exterior-Hard Rain - Door - Thunder - Metal Lawn Furniture.wav","Rain is pouring down while the wind is blowing."
"105bpm.wav","Someone is playing a guitar with a metal sound in the background."
"13gotasb.wav","Birds chirp in the background while a metal object hits another metal object in the foreground."
"14.12.2011.001.wav","A train approaches and passes by on the tracks."
"17-Year Cicada Mating Call.wav","A siren is going off and going off again and again."
"15_Rain_Ocean_HeavierLighter_44_16.wav","It is raining and the rain is hitting the ground."
"1990 repetition brass-band 01.wav","Someone is playing a song with a stringed instrument."
"160717 HSN fishing boat passing by.wav","Waves crash against the shoreline as the wind blows."
"2 08 Br Lib 2 amb kids.wav","A person is walking in heels while people are talking in the background."
"161006_0075 creaking floor -nr.wav","Someone is flipping through the pages of a book."
"20 bottles nt 2_10.wav","Coins are being thrown against each other and a man speaks briefly."
"20060426.marsh.crikets.day.stereo.02.wav","Birds chirp in the trees and the wind blows."
"20070128.turbine.wav","A large machine is running at a constant speed."
"20061121.pine.forest.wav","Birds are chirping and traffic is flowing in the background."
"20070224.siren.wav","A police car with its siren on passes by."
"20061205.washing.machine.wash.wav","A train is going down the tracks picking up speed."
"20070318.forest.00.wav","Birds are chirping and a dog is barking in the background."
"20061215.early.morning.wav","Birds are chirping and a dog is barking in the background."
"20070325.windy.forest.stereo.02.wav","Birds are chirping and the wind is blowing."
"20070402.crowd.wav","A crowd of people are talking and shouting."
"20070918.galloping.horse.wav","A horse is neighing in the distance while a person is walking."
"20070720.rbd.chicharras.02.wav","Rain is pouring down on a roof and the rain is hitting the ground."
"20080226.serins.rbd.02.wav","Birds chirp in the trees while a horse gallops in the distance."
"20070819.fjord.beach.00.wav","Waves crash against the shoreline as the wind blows."
"20080320.farm.ambiance.2.wav","Several different types of birds are tweeting and chirping."
"20070824.supper.wav","Dishes are being moved around in a dishwasher and a person talks in the background."
"20080416.buzz.stereo.wav","Bees are buzzing around while birds are chirping in the background."
"20080504.horse.drawn.00.wav","A horse is walking and birds are chirping in the background."
"20090407.cricket.real.close.wav","A radio receiver is trying to find a station."
"20080505_1309unlock_doors.wav","Birds chirp in the background as a door opens and closes."
"20090412.bell.strikes.12.wav","A bell is ringing while people are talking in the background."
"20081102kijjaz-MediumRecordCracklesSynthesis-01.wav","Rain is pouring down and thunder is cracking in the distance."
"20090712.engine.00.wav","A chainsaw is being used to cut through wood."
"20090105.slicing.wav","A person shuffles through papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up more papers, then picks up"
"20090712.engine.01.wav","A chainsaw is being used to cut down some wood."
"20090827.pony.wav","Someone is walking through the snow with boots on."
"20091225.rain.01.wav","It is raining and the rain is hitting the ground hard."
"20091212.motorcycle.wav","A vehicle approaches and passes by while birds chirp in the background."
"20100320.fountain.wav","Water is being poured into a container that already has water in it."
"20091217.17.fountain.wav","Water is flowing down a gutter and into a drain."
"20100410.almunecar.surf.wav","The wind is blowing while waves crash against the shore."
"20091217.18.chains.wav","The wind is blowing the trees as they clink together."
"20100422.castril.playground.wav","A group of children are yelling and screaming together."
"20100422.waterfall.birds.wav","Birds are chirping and the wind is blowing."
"20101205.02.night.dog.n.car.wav","A dog is barking while cars are passing by."
"20100801.wharf.silence.night.wav","A dog is barking while birds are chirping in the background."
"20110121_stream.MS.wav","Water is flowing down a gutter and into a drain."
"20100804.idling.van.wav","A motor is running at a constant rate and then stops."
"20110206_bright.winter.morning.wav","Birds are chirping and a car honks in the distance."
"20101026Cows.wav","A cow moos in the distance, and then a cow moos in the foreground."
"20110423_heavy.rain.wav","Water is running down a gutter and into a drain."
"201106092013VauxsSwiftsSteigerwaldLakeNWR.wav","Birds are chirping and the wind is blowing."
"20130327_valparaiso.traffic.02.wav","Cars are driving by on the road while people are talking in the background."
"20110804_river.distant.19.wav","Water is flowing in a creek at a pretty fast rate."
"20130406_tourists.06.wav","A group of people are talking and walking around."
"20121014_boat_tour_01.wav","A group of people are talking in the background."
"2013622thunder.wav","Birds are chirping and people are talking in the background."
"2013-03-28 rain in the rainforest.wav","Rain is pouring down and the rain is hitting the ground hard."
"20140223 - Bangkok city sounds.wav","A group of people are talking to each other."
